# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.000000,0.803685,-0.000000,0.000000,0.322861,-0.175424,-0.088561,0.078302,-0.005862,1.542675,-0.000000,-0.000000,4.168318,-6.619052,0.510589,4.309735,-2.010156,0.209498,0.000000,0.000000,0.538261,-0.679087,-0.075694,0.463655,-0.176934,-0.059460,-0.000000,0.000000,-6.271715,10.238317,-1.293240,-6.254707,3.025731
1.000000,0.935002,0.252861,0.081860,0.096432,-0.096078,-0.019082,0.043572,-0.010542,1.902110,0.369015,0.329292,-1.362748,1.110573,0.389758,-0.839610,0.268012,0.279700,0.063360,0.022537,0.145389,-0.275610,0.026013,0.180386,-0.082876,-0.615073,-0.676200,-0.597891,2.555606,-2.811775,-0.286100,1.963532,-0.792398
1.000000,1.284024,0.413792,0.036062,0.023763,-0.050144,-0.009104,0.023492,-0.005428,2.166401,0.168860,-0.163832,-0.434654,0.839932,-0.134140,-0.550433,0.276359,0.358899,0.074411,0.030571,0.010146,-0.089153,0.021138,0.069135,-0.035939,-1.260298,-0.648352,0.149911,-0.015767,-0.497256,0.331330,0.247713,-0.194238
1.000000,1.716457,0.414063,-0.046171,0.011989,-0.034398,-0.008090,0.014864,-0.002064,2.168492,-0.141826,-0.222562,0.247575,-0.081262,-0.125120,0.047551,0.019196,0.439208,0.078310,0.019787,-0.010240,-0.034581,0.013297,0.031344,-0.017717,-1.886956,-0.601592,0.069073,-0.535561,0.672004,0.051868,-0.470214,0.189804
1.000000,2.066650,0.254385,-0.117868,0.018549,-0.020394,-0.008259,0.006230,0.001272,1.912045,-0.375195,-0.102230,0.294204,-0.325710,-0.045689,0.220141,-0.078502,0.519409,0.079372,0.012656,-0.008806,-0.017334,0.007078,0.016407,-0.009155,-2.511575,-0.615433,-0.054239,-0.090011,0.321034,-0.086161,-0.230493,0.126933
1.000000,2.200564,-0.002294,-0.147020,0.023493,-0.003661,-0.005559,-0.001621,0.002853,1.499064,-0.456993,0.022816,0.189743,-0.279274,-0.003114,0.197794,-0.082781,0.599628,0.078683,0.006877,0.000370,-0.010494,0.000596,0.007049,-0.002705,-3.139945,-0.635039,-0.051474,0.165323,-0.084771,-0.076653,0.048037,0.004797
1.000000,2.066756,-0.258047,-0.118498,0.020693,0.010214,-0.001206,-0.006185,0.002638,1.087256,-0.367502,0.113760,0.100033,-0.184619,0.009789,0.134973,-0.060493,0.680003,0.077904,-0.000098,0.010646,-0.004936,-0.004798,-0.000988,0.002607,-3.769725,-0.642564,-0.009365,0.188349,-0.237219,-0.033170,0.162525,-0.057986
1.000000,1.716365,-0.416783,-0.044574,0.018117,0.017115,-0.000632,-0.009795,0.003889,0.833196,-0.143032,0.158262,0.041629,-0.110765,0.010733,0.081750,-0.038219,0.760341,0.078236,-0.005824,0.014410,0.000695,-0.006439,-0.006091,0.005095,-4.399155,-0.641722,0.020843,0.128771,-0.232212,-0.001737,0.168047,-0.070731
1.000000,1.283703,-0.417826,0.040893,0.020473,0.018550,-0.004764,-0.014494,0.007469,0.833553,0.131947,0.149532,0.003223,-0.063031,0.009443,0.045926,-0.022467,0.840423,0.079524,-0.007178,0.009318,0.004495,-0.003876,-0.006474,0.004010,-5.027896,-0.638092,0.031863,0.067898,-0.174222,0.012520,0.132020,-0.060251
1.000000,0.934005,-0.258917,0.105422,0.018582,0.015965,-0.007679,-0.016027,0.009095,1.088125,0.354053,0.092514,-0.022316,-0.032799,0.009247,0.023829,-0.012919,0.920243,0.080952,-0.003903,-0.000577,0.004594,0.000607,-0.002709,0.000674,-5.656160,-0.634595,0.030461,0.027836,-0.113301,0.015209,0.089399,-0.043042
1.000000,0.800447,0.000643,0.130762,0.003442,0.006718,-0.005000,-0.008475,0.005072,1.499733,0.439710,0.007371,-0.036638,-0.011942,0.010279,0.010256,-0.007525,0.999881,0.081294,0.001533,-0.006700,0.001199,0.002688,0.001392,-0.001566,-6.284193,-0.632225,0.023358,0.008238,-0.065429,0.011316,0.052755,-0.025977
1.000000,0.933609,0.259020,0.110788,-0.011656,-0.008784,-0.002546,0.003041,0.000027,1.911244,0.357024,-0.075593,-0.039875,0.004707,0.011322,0.000675,-0.003957,1.079722,0.079888,0.003501,-0.001997,-0.001902,-0.000213,0.001004,0.000006,-6.912157,-0.631238,0.014473,0.005600,-0.034685,0.003141,0.026246,-0.011533
1.000000,1.283500,0.416201,0.043846,-0.010482,-0.020070,-0.003812,0.008823,-0.001489,2.165547,0.138002,-0.126729,-0.032824,0.019496,0.010421,-0.008435,0.000098,1.160009,0.078291,-0.000846,0.008559,-0.000880,-0.004803,-0.003617,0.003651,-7.540153,-0.631784,0.006060,0.019517,-0.026356,-0.008493,0.015324,-0.002409
1.000000,1.716517,0.415620,-0.045069,-0.004545,-0.021260,-0.002757,0.010637,-0.002776,2.165575,-0.133764,-0.128482,-0.015900,0.031010,0.004800,-0.018294,0.006412,1.240366,0.078602,-0.006053,0.012465,0.002662,-0.006034,-0.007041,0.005351,-8.168293,-0.633920,0.000813,0.051319,-0.053213,-0.020815,0.033035,-0.005670
1.000000,2.066365,0.257407,-0.112586,-0.001592,-0.016593,0.000228,0.010812,-0.004063,1.911358,-0.355267,-0.081882,0.014672,0.028695,-0.008972,-0.022207,0.013545,1.320317,0.079578,-0.006274,0.009234,0.005079,-0.005073,-0.008045,0.005419,-8.796744,-0.636748,0.003784,0.092545,-0.128795,-0.022262,0.096686,-0.034084
1.000000,2.199978,-0.001342,-0.137781,0.008358,-0.006288,0.000621,0.005243,-0.002266,1.499942,-0.443522,-0.004078,0.069663,-0.020531,-0.030890,0.009486,0.008068,1.400235,0.079346,-0.005704,0.007587,0.008436,-0.005058,-0.011042,0.006679,-9.425617,-0.636501,0.020572,0.095551,-0.217480,0.013646,0.183725,-0.088284
1.000000,2.066523,-0.258284,-0.113175,0.014951,0.005869,0.001733,-0.000695,-0.000724,1.088137,-0.365874,0.084539,0.150734,-0.180179,-0.038630,0.145211,-0.051240,1.480478,0.079648,-0.008289,0.003663,0.017380,-0.003505,-0.017465,0.008609,-10.054389,-0.626038,0.040699,-0.053373,-0.101034,0.097765,0.094467,-0.079281
1.000000,1.716196,-0.416884,-0.041419,0.016501,0.011405,0.001172,-0.003789,0.000541,0.832699,-0.145870,0.171502,0.154553,-0.414016,0.055175,0.376465,-0.197828,1.560519,0.081528,-0.009251,-0.009842,0.036233,-0.000775,-0.032409,0.014405,-10.681184,-0.608233,0.004136,-0.365343,0.593796,0.060286,-0.555370,0.245204
1.000000,1.283723,-0.417686,0.042760,0.016995,0.009028,0.001953,-0.000262,-0.002496,0.832678,0.154595,0.195397,-0.344449,0.183192,0.294412,-0.222549,0.001079,1.640410,0.080943,-0.012748,-0.016649,0.085276,-0.014976,-0.089946,0.048425,-11.306709,-0.635171,-0.107529,0.087434,0.530832,-0.490905,-0.374807,0.352197
1.000000,0.934015,-0.254349,0.111098,-0.019961,0.000395,0.041206,0.039640,-0.050488,1.094356,0.389132,-0.110245,-1.080762,3.433135,-0.750864,-3.658695,2.149657,1.720734,0.071018,-0.033078,0.070630,0.164031,-0.142041,-0.248476,0.189740,-11.944658,-0.702587,0.204749,2.132472,-5.736071,0.844225,6.161495,-3.478591
